id,word,prob_inc,prob_occur
0,no,0.5346534653465347,0.2632607845692689
1,rt,0.496875,0.834093574872931
2,been,0.6176470588235294,0.08862244233024892
3,httpstco6ve3yjostm,1.0,0.0026065424214779098
4,falcon,0.4536082474226804,0.25283461488335723
5,back,0.6071428571428571,0.07298318780138147
6,solar,0.6818181818181818,0.05734393327251401
7,deployed,1.0,0.010426169685911639
8,video,0.4166666666666667,0.06255701811546983
9,dragon,0.48484848484848486,0.08601589990877101
10,posted,0.5,0.010426169685911639
11,spacecraft,0.75,0.010426169685911639
12,httpstcomzkw5udsti,1.0,0.0026065424214779098
13,came,1.0,0.010426169685911639
14,have,0.5757575757575758,0.34406359963508404
15,has,0.5730337078651685,0.23198227551153397
16,mattnewby,1.0,0.0026065424214779098
17,cargo,0.8,0.026065424214779094
18,just,0.47692307692307695,0.33885051479212824
19,httpstco5frhw3at2b,1.0,0.0026065424214779098
20,landed,0.5454545454545454,0.028671966636257006
21,on,0.45724907063197023,0.7011599113775577
22,a,0.563265306122449,1.9158086797862635
23,lz1,0.6666666666666666,0.00781962726443373
24,spacex,0.5170731707317073,0.5343411964029715
25,right,0.5254237288135594,0.15378600286719665
26,httpstcorcv7mvi8rs,1.0,0.0026065424214779098
27,schedule,0.3333333333333333,0.00781962726443373
28,nasa,0.5945945945945946,0.09644206959468266
29,at,0.5029940119760479,0.4352925843868109
30,stage,0.5714285714285714,0.0547373908510361
31,watch,0.3333333333333333,0.03127850905773492
32,baby,1.0,0.00781962726443373
33,httpst,0.4444444444444444,0.023458881793301186
34,9,0.559322033898305,0.15378600286719665
35,arrays,1.0,0.0026065424214779098
36,first,0.5340909090909091,0.22937573309005604
37,very,0.5961538461538461,0.1355402059168513
38,slightly,0.625,0.020852339371823278
39,zperrin99,1.0,0.0026065424214779098
40,httpstcoupjtcmftte,1.0,0.0026065424214779098
41,called,0.6666666666666666,0.03127850905773492
42,upper,0.625,0.020852339371823278
43,rocket,0.46808510638297873,0.12250749380946174
44,about,0.6126126126126126,0.28932620878404797
45,would,0.6086956521739131,0.17985142708197577
46,xuanthai,1.0,0.0026065424214779098
47,weather,0.5714285714285714,0.03649159390069073
48,fluid,0.3333333333333333,0.00781962726443373
49,if,0.5188679245283019,0.2762934966766584
50,they,0.4125,0.20852339371823275
51,case,1.0,0.010426169685911639
52,99,1.0,0.0052130848429558195
53,tvc,1.0,0.0026065424214779098
54,11,0.4,0.013032712107389547
55,likely,0.4444444444444444,0.023458881793301186
56,sure,0.41304347826086957,0.11990095138798385
57,issue,0.8333333333333334,0.01563925452886746
58,in,0.6097560975609756,1.1755506320865372
59,tomorrow,0.47368421052631576,0.04952430600808028
60,is,0.563302752293578,1.4205656197054608
61,it,0.5473684210526316,0.7428645901212042
62,apollo,0.5,0.010426169685911639
63,an,0.6388888888888888,0.2815065815196142
64,odd,0.5,0.0052130848429558195
65,morning,0.5555555555555556,0.023458881793301186
66,1,0.64,0.06516356053694775
67,2,0.5,0.08862244233024892
68,symptomatic,1.0,0.0026065424214779098
69,1501,1.0,0.0026065424214779098
70,system,0.631578947368421,0.04952430600808028
71,tiny,0.6666666666666666,0.023458881793301186
72,except,0.8,0.013032712107389547
73,much,0.5,0.1355402059168513
74,status,1.0,0.0026065424214779098
75,isnt,0.36363636363636365,0.028671966636257006
76,flight,0.5333333333333333,0.039098136322168645
77,wait,0.875,0.020852339371823278
78,be,0.5220588235294118,0.7089795386419914
79,confident,0.6666666666666666,0.00781962726443373
80,overcome,1.0,0.0026065424214779098
81,worth,0.6111111111111112,0.04691776358660237
82,out,0.4915254237288136,0.15378600286719665
83,zybbby,1.0,0.0026065424214779098
84,rolling,0.5714285714285714,0.018245796950345367
85,leak,1.0,0.00781962726443373
86,are,0.5617977528089888,0.46396455102306794
87,systems,0.2857142857142857,0.018245796950345367
88,so,0.5146198830409356,0.44571875407272254
89,pump,0.6666666666666666,0.00781962726443373
90,webcast,0.7777777777777778,0.023458881793301186
91,side,0.3333333333333333,0.03127850905773492
92,btw,0.38461538461538464,0.03388505147921282
93,question,0.5,0.03649159390069073
94,piston,1.0,0.0026065424214779098
95,more,0.5853658536585366,0.2137364785611886
96,i,0.5627009646302251,0.8106346930796298
97,launch,0.4794520547945205,0.19027759676788739
98,helium,1.0,0.0026065424214779098
99,off,0.3333333333333333,0.03127850905773492
100,the,0.5045871559633027,2.5570181154698295
101,standing,0.5,0.0052130848429558195
102,closed,0.5,0.010426169685911639
103,turbopump,1.0,0.0026065424214779098
104,to,0.5180863477246208,2.233806855206568
105,movement,1.0,0.0026065424214779098
106,experts,1.0,0.00781962726443373
107,but,0.5,0.6099309266258308
108,fuel,0.4,0.013032712107389547
109,spacestation,0.5,0.041704678743646556
110,dice,1.0,0.0026065424214779098
111,feel,0.45454545454545453,0.028671966636257006
112,httpstc,0.6666666666666666,0.00781962726443373
113,down,0.375,0.041704678743646556
114,that,0.5266666666666666,0.781962726443373
115,high,0.6041666666666666,0.12511403623093967
116,pad,0.5,0.04691776358660237
117,hydraulic,0.3333333333333333,0.00781962726443373
118,fine,0.5555555555555556,0.023458881793301186
119,loop,0.5,0.020852339371823278
120,only,0.7192982456140351,0.14857291802424086
121,from,0.5522388059701493,0.3492766844780399
122,day,0.45454545454545453,0.05734393327251401
123,tomorrows,0.5,0.0052130848429558195
124,all,0.5190839694656488,0.34145705721360614
125,counting,1.0,0.0026065424214779098
126,dedicated,0.5,0.0052130848429558195
127,upstream,1.0,0.0026065424214779098
128,already,0.5333333333333333,0.07819627264433729
129,need,0.47619047619047616,0.1094747817020722
130,utc,0.6666666666666666,0.01563925452886746
131,this,0.5458937198067633,0.5395542812459273
132,often,0.4,0.013032712107389547
133,pressure,0.9090909090909091,0.028671966636257006
134,significant,1.0,0.0052130848429558195
135,bleed,1.0,0.0026065424214779098
136,et,0.75,0.020852339371823278
137,spacecom,1.0,0.0052130848429558195
138,rp1,1.0,0.0026065424214779098
139,amp,0.6253869969040248,0.8419132021373649
140,needed,0.5384615384615384,0.03388505147921282
141,for,0.5173333333333333,0.9774534080542161
142,cause,0.75,0.020852339371823278
143,investigate,0.2,0.013032712107389547
144,error,1.0,0.0026065424214779098
145,wd,0.8,0.013032712107389547
146,we,0.5055555555555555,0.4691776358660237
147,httpstcoojkhgk,1.0,0.0026065424214779098
148,not,0.5426829268292683,0.4274729571223772
149,trace,1.0,0.0026065424214779098
150,related,1.0,0.0052130848429558195
151,hour,1.0,0.01563925452886746
152,1001am,1.0,0.0052130848429558195
153,engine,0.6666666666666666,0.01563925452886746
